"from","to","distance_rule_km"
"Sant'Anna di Oria","Masseria Acquasalsa",500
"Sant'Anna di Oria","Grotta Continenza",500
"Sant'Anna di Oria","Portonovo",500
"Sant'Anna di Oria","Masseria Candelaro III",500
"Sant'Anna di Oria","Grotta Scaloria",500
"Sant'Anna di Oria","Marcianese",500
"Sant'Anna di Oria","Trasanello II",500
"Sant'Anna di Oria","Krivače",500
"Sant'Anna di Oria","Pian di Calisti",500
"Sant'Anna di Oria","Grotta dei Piccioni",500
"Sant'Anna di Oria","Grotta Sant'Angelo II",500
"Sant'Anna di Oria","Villa Badessa (Cepegatti)",500
"Sant'Anna di Oria","Pokrovnik",500
"Sant'Anna di Oria","Danilo-Bitinj",500
"Sant'Anna di Oria","Colle Cera",500
"Sant'Anna di Oria","Balsignano ",500
"Sant'Anna di Oria","Spila Nakovana",500
"Sant'Anna di Oria","Ex Palestra GIL",500
"Sant'Anna di Oria","Grotta San Michele Arcangelo II",500
"Sant'Anna di Oria","Masseria Santa Tecchia",500
"Sant'Anna di Oria","Lokvica",500
"Sant'Anna di Oria","Rocchicella-Paliké",500
"La Scola","Abri Albertini",500
"La Scola","La Lucciola",500
"La Scola","Masseria Acquasalsa",500
"La Scola","Grotta Continenza",500
"La Scola","Portonovo",500
"La Scola","Masseria Candelaro III",500
"La Scola","Grotta Scaloria",500
"La Scola","Marcianese",500
"La Scola","Savignano sul Panaro",500
"La Scola","Su Carroppu",500
"La Scola","Krivače",500
"La Scola","Pian di Calisti",500
"La Scola","Grotta dei Piccioni",500
"La Scola","Pienza",500
"La Scola","Casa Querciolaia",500
"La Scola","Grotta Sant'Angelo II",500
"La Scola","Villa Badessa (Cepegatti)",500
"La Scola","Danilo-Bitinj",500
"La Scola","Colle Cera",500
"La Scola","Ex Palestra GIL",500
"La Scola","Grande Rivoire",500
"La Scola","Arene Candide II",500
"La Scola","Fiorano Modenese",500
"La Scola","Masseria Santa Tecchia",500
"La Marmotta","Abri Albertini",500
"La Marmotta","La Lucciola",500
"La Marmotta","La Scola",500
"La Marmotta","Masseria Acquasalsa",500
"La Marmotta","Grotta Continenza",500
"La Marmotta","Portonovo",500
"La Marmotta","Masseria Candelaro III",500
"La Marmotta","Grotta Scaloria",500
"La Marmotta","Strette",500
"La Marmotta","Marcianese",500
"La Marmotta","Savignano sul Panaro",500
"La Marmotta","Su Carroppu",500
"La Marmotta","Trasanello II",500
"La Marmotta","Fornace Cappuccini",500
"La Marmotta","Krivače",500
"La Marmotta","Pian di Calisti",500
"La Marmotta","Grotta dei Piccioni",500
"La Marmotta","Pienza",500
"La Marmotta","Casa Querciolaia",500
"La Marmotta","Grotta Sant'Angelo II",500
"La Marmotta","Villa Badessa (Cepegatti)",500
"La Marmotta","Pokrovnik",500
"La Marmotta","Danilo-Bitinj",500
"La Marmotta","Colle Cera",500
"La Marmotta","Balsignano ",500
"La Marmotta","Spila Nakovana",500
"La Marmotta","Ex Palestra GIL",500
"La Marmotta","Cala Giovanna",500
"La Marmotta","Arene Candide II",500
"La Marmotta","Grotta San Michele Arcangelo II",500
"La Marmotta","Fiorano Modenese",500
"La Marmotta","Masseria Santa Tecchia",500
"La Marmotta","Lokvica",500
"Umbro Bova Marina","Masseria Acquasalsa",500
"Umbro Bova Marina","Grotta Continenza",500
"Umbro Bova Marina","Masseria Candelaro III",500
"Umbro Bova Marina","Grotta Scaloria",500
"Umbro Bova Marina","Marcianese",500
"Umbro Bova Marina","Trasanello II",500
"Umbro Bova Marina","Balsignano ",500
"Umbro Bova Marina","Ex Palestra GIL",500
"Umbro Bova Marina","Grotta San Michele Arcangelo II",500
"Umbro Bova Marina","Masseria Santa Tecchia",500
"Umbro Bova Marina","Rocchicella-Paliké",500
"Strette","Abri Albertini",500
"Strette","La Lucciola",500
"Strette","Grotta Continenza",500
"Strette","Portonovo",500
"Strette","Marcianese",500
"Strette","Savignano sul Panaro",500
"Strette","Su Carroppu",500
"Strette","Pian di Calisti",500
"Strette","Grotta dei Piccioni",500
"Strette","Pienza",500
"Strette","Casa Querciolaia",500
"Strette","Grotta Sant'Angelo II",500
"Strette","Villa Badessa (Cepegatti)",500
"Strette","Colle Cera",500
"Strette","Grande Rivoire",500
"Strette","Arene Candide II",500
"Strette","Fiorano Modenese",500
"Fornace Cappuccini","Abri Albertini",500
"Fornace Cappuccini","La Lucciola",500
"Fornace Cappuccini","Masseria Acquasalsa",500
"Fornace Cappuccini","Grotta Continenza",500
"Fornace Cappuccini","Portonovo",500
"Fornace Cappuccini","Masseria Candelaro III",500
"Fornace Cappuccini","Grotta Scaloria",500
"Fornace Cappuccini","Marcianese",500
"Fornace Cappuccini","Savignano sul Panaro",500
"Fornace Cappuccini","Krivače",500
"Fornace Cappuccini","Pian di Calisti",500
"Fornace Cappuccini","Grotta dei Piccioni",500
"Fornace Cappuccini","Pienza",500
"Fornace Cappuccini","Casa Querciolaia",500
"Fornace Cappuccini","Grotta Sant'Angelo II",500
"Fornace Cappuccini","Villa Badessa (Cepegatti)",500
"Fornace Cappuccini","Pokrovnik",500
"Fornace Cappuccini","Danilo-Bitinj",500
