"from","to","distance_rule_km"
"La Scola","La Lucciola",450
"La Scola","Su Carroppu",450
"La Scola","Casa Querciolaia",450
"La Scola","Colle Cera",450
"La Scola","Arene Candide II",450
"Strette","La Lucciola",450
"Strette","Su Carroppu",450
"Strette","Casa Querciolaia",450
"Strette","Colle Cera",450
"Strette","Grande Rivoire",450
"Strette","Arene Candide II",450
"Rio Saboccu","La Scola",450
"Rio Saboccu","Strette",450
"Rio Saboccu","Su Carroppu",450
"Rio Saboccu","Cala Giovanna",450
"Cala Giovanna","La Lucciola",450
"Cala Giovanna","Su Carroppu",450
"Cala Giovanna","Casa Querciolaia",450
"Cala Giovanna","Colle Cera",450
"Cala Giovanna","Arene Candide II",450
"Sa Punta","La Scola",450
"Sa Punta","Strette",450
"Sa Punta","Su Carroppu",450
"Sa Punta","Cala Giovanna",450
"Monte Arci","Rio Saboccu",450
"Monte Arci","Sa Punta",450
