"name","Long","Lat","Rank","Sardegna","Lipari","Palmarola"
"La Lucciola",12.08612,43.06918,1,1,1,1
"La Scola",10.0833,42.58,2,1,1,1
"Umbro Bova Marina",15.9178,37.9392,3,1,1,0
"Strette",9.37738,42.68974,2,1,0,0
"Su Carroppu",8.559799,39.20713,1,1,0,0
"Rio Saboccu",8.55253,39.68823,3,1,0,0
"Casa Querciolaia",10.361458,43.55658,1,1,0,0
"Colle Cera",13.987246,42.43035,1,1,1,1
"Cala Giovanna",10.0938,42.58964,2,1,1,1
"Grande Rivoire",5.6444,45.2217,1,1,0,0
"Arene Candide II",8.32828,44.1623,1,1,0,1
"Sa Punta",8.507104,39.720056,3,1,0,0
"Monte Arci",8.745,39.77778,4,1,NA,NA
