"from","to","distance_rule_km"
"Le Secche","Susac Poje",650
"Le Secche","Favella",650
"Le Secche","Terragne",650
"Le Secche","Grotta San Michele Arcangelo I",650
"Le Secche","Ripatetta",650
"Le Secche","Kargadur",650
"Le Secche","Masseria Candelaro II",650
"Le Secche","Trasanello I",650
"Le Secche","Maddalena di Muccia",650
"Le Secche","Grotta Sant'Angelo I",650
"Le Secche","Balsignano I",650
"Colle Santo Stefano","Susac Poje",650
"Colle Santo Stefano","Favella",650
"Colle Santo Stefano","Terragne",650
"Colle Santo Stefano","Grotta San Michele Arcangelo I",650
"Colle Santo Stefano","Ripatetta",650
"Colle Santo Stefano","Torre Sabea",650
"Colle Santo Stefano","Kargadur",650
"Colle Santo Stefano","Masseria Candelaro II",650
"Colle Santo Stefano","Le Secche",650
"Colle Santo Stefano","Trasanello I",650
"Colle Santo Stefano","Maddalena di Muccia",650
"Colle Santo Stefano","Grotta Sant'Angelo I",650
"Colle Santo Stefano","Balsignano I",650
"Lipari","Colle Santo Stefano",650
