"name","Long","Lat","Rank","Sardegna","Lipari","Palmarola"
"Piana di Curinga",16.29868,38.83539,2,0,1,0
"Le Macchie (Ripagnola Polignano a mare)",17.2025,41.0131,1,0,1,0
"Susac Poje",16.517,42.767,1,0,1,1
"Favella",16.437459,39.68409,1,0,1,0
"Pulo di Molfetta Fondo Azzolini",16.575779,41.19449,1,0,1,0
"Terragne",17.6198,40.3705,1,0,1,0
"Grotta San Michele Arcangelo I",16.1575,39.7799,1,0,1,1
"Ripatetta",15.40402,41.43957,1,0,1,1
"Torre Sabea",18.00634,40.07301,1,0,1,0
"Kargadur",13.95064,44.81915,1,0,1,0
"Rio Tana",13.7567,41.8558,1,0,1,1
"Masseria Candelaro II",15.750553,41.61289,1,0,1,1
"Le Secche",10.882183,42.38172,2,1,1,1
"Palata 1",16.0657,41.2239,1,0,1,0
"Maddalena di Muccia",13.05987,43.07352,1,0,1,1
"Colle Santo Stefano",13.66639,41.95389,3,0,1,1
"Grotta Sant'Angelo I",13.626537,42.75455,1,0,1,0
"Lipari",14.95544,38.46728,4,NA,1,NA
