"from","to","distance_rule_km"
"Le Secche","Susac Poje",550
"Le Secche","Grotta San Michele Arcangelo I",550
"Le Secche","Ripatetta",550
"Le Secche","Rio Tana",550
"Le Secche","Arene Candide I",550
"Le Secche","Grotta Pollera",550
"Le Secche","Masseria Candelaro II",550
"Le Secche","Maddalena di Muccia",550
"Colle Santo Stefano","Susac Poje",550
"Colle Santo Stefano","Grotta San Michele Arcangelo I",550
"Colle Santo Stefano","Ripatetta",550
"Colle Santo Stefano","Rio Tana",550
"Colle Santo Stefano","Arene Candide I",550
"Colle Santo Stefano","Grotta Pollera",550
"Colle Santo Stefano","Masseria Candelaro II",550
"Colle Santo Stefano","Le Secche",550
"Colle Santo Stefano","Maddalena di Muccia",550
"Colle Santo Stefano","Renaghju",550
"Renaghju","Peiro Signado",550
"Renaghju","Pont de Roque-Haute",550
"Renaghju","Ripatetta",550
"Renaghju","Rio Tana",550
"Renaghju","Arene Candide I",550
"Renaghju","Grotta Pollera",550
"Renaghju","Maddalena di Muccia",550
"Palmarola","Colle Santo Stefano",550
