"from","to","distance_rule_km"
"Piana di Curinga","Le Macchie (Ripagnola Polignano a mare)",300
"Piana di Curinga","Favella",300
"Piana di Curinga","Terragne",300
"Piana di Curinga","Coppa Nevigata",300
"Piana di Curinga","Grotta San Michele Arcangelo I",300
"Piana di Curinga","Ripatetta",300
"Piana di Curinga","Torre Sabea",300
"Piana di Curinga","Scamuso I",300
"Piana di Curinga","Trasano",300
"Piana di Curinga","Masseria Montevergine - Torre de Rubeis",300
"Piana di Curinga","Trasanello I",300
"Piana di Curinga","Palata 1",300
"Piana di Curinga","Balsignano I",300
"Le Secche","Rio Tana",300
"Le Secche","Arene Candide I",300
"Le Secche","Grotta Pollera",300
"Le Secche","Grotta dei Cocci",300
"Le Secche","Basi I",300
"Le Secche","Maddalena di Muccia",300
"Le Secche","Villaggio Ortucchio",300
"Le Secche","Grotta Sant'Angelo I",300
"Colle Santo Stefano","Susac Poje",300
"Colle Santo Stefano","Coppa Nevigata",300
"Colle Santo Stefano","Ripatetta",300
"Colle Santo Stefano","Rio Tana",300
"Colle Santo Stefano","Scamuso I",300
"Colle Santo Stefano","Trasano",300
"Colle Santo Stefano","Grotta dei Cocci",300
"Colle Santo Stefano","Masseria Candelaro II",300
"Colle Santo Stefano","Le Secche",300
"Colle Santo Stefano","Trasanello I",300
"Colle Santo Stefano","Palata 1",300
"Colle Santo Stefano","Maddalena di Muccia",300
"Colle Santo Stefano","Villaggio Ortucchio",300
"Colle Santo Stefano","Grotta Sant'Angelo I",300
"Colle Santo Stefano","Barice Smilcic",300
"Colle Santo Stefano","Balsignano I",300
"Renaghju","Arene Candide I",300
"Renaghju","Le Secche",300
"Renaghju","Basi I",300
"Monte Arci","Renaghju",300
"Palmarola","Colle Santo Stefano",300
