"Network","Rule_set","Distance_km","Rank","mean_degree","mean_betweenness","mean_closeness","mean_harmonic","mean_eigenvector"
"Rule_A_100km","Rule_A",100,1,0.172413793103448,0,0.76,0.00766283524904215,0.0597258899161682
"Rule_A_100km","Rule_A",100,2,0.5,0,1,0.0138888888888889,0
"Rule_A_100km","Rule_A",100,3,2,0.00238095238095238,1,0.0555555555555556,0.5
"Rule_A_100km","Rule_A",100,4,0,0,NA,0,0
"Rule_A_100km","Rule_A",100,NA,0,0,NA,0,0
"Rule_A_150km","Rule_A",150,1,0.310344827586207,0.000328407224958949,0.614583333333333,0.0228288633461047,0.071953098765395
"Rule_A_150km","Rule_A",150,2,1.5,0.000793650793650794,0.694444444444444,0.0717592592592593,0.0962912017836259
"Rule_A_150km","Rule_A",150,3,3.5,0.0158730158730159,0.9375,0.104166666666667,0.5
"Rule_A_150km","Rule_A",150,4,0.333333333333333,0,0.5,0.0354938271604938,0.133950040142066
"Rule_A_150km","Rule_A",150,NA,0,0,NA,0,0
"Rule_A_200km","Rule_A",200,1,0.517241379310345,0.00175150519978106,0.461414141414141,0.0598180076628352,0.104446233344863
"Rule_A_200km","Rule_A",200,2,3.5,0.0265873015873016,0.724137931034483,0.143518518518518,0.213924436525775
"Rule_A_200km","Rule_A",200,3,6,0.0599206349206349,0.480576441102757,0.229166666666667,0.612722542890641
"Rule_A_200km","Rule_A",200,4,0.666666666666667,0,0.326969696969697,0.0958333333333333,0.130115463104859
"Rule_A_200km","Rule_A",200,NA,0,0,NA,0,0
"Rule_A_250km","Rule_A",250,1,0.862068965517241,0,0.506071736372346,0.113984674329502,0.117974837095202
"Rule_A_250km","Rule_A",250,2,8.5,0.0587301587301587,0.85,0.277777777777778,0.442063131427888
"Rule_A_250km","Rule_A",250,3,7,0.0579365079365079,0.622222222222222,0.277777777777778,0.643749628266333
"Rule_A_250km","Rule_A",250,4,0.666666666666667,0,0.388597149287322,0.112654320987654,0.100621468555763
"Rule_A_250km","Rule_A",250,NA,0,0,NA,0,0
"Rule_A_300km","Rule_A",300,1,1.31034482758621,0.00613026819923372,0.388913839791835,0.293726053639847,0.184709510771754
"Rule_A_300km","Rule_A",300,2,11.5,0.232539682539683,0.457401887729757,0.498148148148148,0.583318286067689
"Rule_A_300km","Rule_A",300,3,10.5,0.241269841269841,0.472671568627451,0.478472222222222,0.597423905061403
"Rule_A_300km","Rule_A",300,4,0.666666666666667,0,0.319108057755007,0.196296296296296,0.0779008327746646
"Rule_A_300km","Rule_A",300,NA,0,0,NA,0,0
"Rule_A_350km","Rule_A",350,1,1.58620689655172,0.00445174238277686,0.428729387409278,0.363058748403576,0.197892972960052
"Rule_A_350km","Rule_A",350,2,12,0.171296296296296,0.484140435835351,0.540972222222222,0.545588460233264
"Rule_A_350km","Rule_A",350,3,14.5,0.292460317460317,0.543630751964085,0.571990740740741,0.630045939332301
"Rule_A_350km","Rule_A",350,4,1,0.00705467372134039,0.370982923221729,0.237962962962963,0.08767006496473
"Rule_A_350km","Rule_A",350,NA,0,0,NA,0,0
"Rule_A_400km","Rule_A",400,1,1.79310344827586,0.00361247947454844,0.45135822459278,0.376819923371648,0.210433114107669
"Rule_A_400km","Rule_A",400,2,13.5,0.16005291005291,0.548076923076923,0.579861111111111,0.612431146589852
"Rule_A_400km","Rule_A",400,3,16,0.262962962962963,0.584325396825397,0.604166666666667,0.688543092323285
"Rule_A_400km","Rule_A",400,4,1,0.00317460317460318,0.390422322775264,0.246759259259259,0.0928936688501751
"Rule_A_400km","Rule_A",400,NA,0,0,NA,0,0
"Rule_A_450km","Rule_A",450,1,2.13793103448276,0.00162926473271301,0.487095002574059,0.411079182630907,0.215880990278517
"Rule_A_450km","Rule_A",450,2,17,0.146640211640212,0.653061224489796,0.671296296296296,0.68246046764595
"Rule_A_450km","Rule_A",450,3,19,0.260925925925926,0.66347687400319,0.675925925925926,0.699929932392769
"Rule_A_450km","Rule_A",450,4,1.33333333333333,0.00142857142857143,0.433867177031677,0.410493827160494,0.123326215396744
"Rule_A_450km","Rule_A",450,NA,0,0,NA,0,3.14965753433112e-19
"Rule_A_500km","Rule_A",500,1,2.41379310344828,0.00163066818239232,0.486295350153197,0.469348659003831,0.226578421064962
"Rule_A_500km","Rule_A",500,2,19,0.143791208791209,0.673861852433281,0.729166666666667,0.711057609223377
"Rule_A_500km","Rule_A",500,3,21.5,0.304505494505495,0.686538461538462,0.743055555555555,0.706824954497685
"Rule_A_500km","Rule_A",500,4,1.66666666666667,0.00283272283272283,0.498685484986855,0.487654320987654,0.155236074273185
"Rule_A_500km","Rule_A",500,NA,0,0,NA,0,0
"Rule_A_550km","Rule_A",550,1,2.79310344827586,0.00134475680541657,0.491482235803899,0.505348020434227,0.249284662938198
"Rule_A_550km","Rule_A",550,2,22.5,0.172627080521817,0.716973244147157,0.791666666666667,0.793190872194837
"Rule_A_550km","Rule_A",550,3,23.5,0.296036660278146,0.713276836158192,0.793981481481481,0.741898365576366
"Rule_A_550km","Rule_A",550,4,1.66666666666667,0.00154231733179102,0.496646026831785,0.500771604938272,0.145454976913499
"Rule_A_550km","Rule_A",550,NA,0,0,NA,0,0
"Rule_A_600km","Rule_A",600,1,2.96551724137931,0.000959847747155848,0.502778931063358,0.514527458492976,0.262566215305549
"Rule_A_600km","Rule_A",600,2,24,0.181845589550904,0.740864527629233,0.8125,0.826710120465066
"Rule_A_600km","Rule_A",600,3,24.5,0.26885359534101,0.739329268292683,0.8125,0.779585447023911
"Rule_A_600km","Rule_A",600,4,1.66666666666667,0.000837359098228663,0.498692810457516,0.501543209876543,0.145558750305851
"Rule_A_600km","Rule_A",600,NA,0,0,NA,0,0
"Rule_A_650km","Rule_A",650,1,3.3448275862069,0.000409666571416524,0.520935636328198,0.52985312899106,0.292943216613458
"Rule_A_650km","Rule_A",650,2,26,0.177224008087852,0.776829268292683,0.840277777777778,0.870999809079043
"Rule_A_650km","Rule_A",650,3,28.5,0.241210168277837,0.829152731326644,0.877314814814815,0.905762095397368
"Rule_A_650km","Rule_A",650,4,2,0.00015255530129672,0.514705882352941,0.513888888888889,0.176812189012974
"Rule_A_650km","Rule_A",650,NA,0,0,NA,0,0
"Rule_B_100km","Rule_B",100,1,0.172413793103448,0,0.76,0.00766283524904215,0.0597258899161682
"Rule_B_100km","Rule_B",100,2,0.5,0,1,0.0138888888888889,6.04117606173249e-17
"Rule_B_100km","Rule_B",100,3,2,0.00238095238095238,1,0.0555555555555556,0.5
"Rule_B_100km","Rule_B",100,4,0,0,NA,0,3.06658683336675e-18
"Rule_B_100km","Rule_B",100,NA,0,0,NA,0,3.06658683336675e-18
"Rule_B_150km","Rule_B",150,1,0.310344827586207,0.000328407224958949,0.597916666666667,0.023786717752235,0.071953098765395
"Rule_B_150km","Rule_B",150,2,2,0.00238095238095238,0.694444444444444,0.0856481481481481,0.096291201783626
"Rule_B_150km","Rule_B",150,3,3.5,0.0158730158730159,0.9375,0.104166666666667,0.5
"Rule_B_150km","Rule_B",150,4,0.666666666666667,0,0.55,0.0540123456790123,0.133950040142066
"Rule_B_150km","Rule_B",150,NA,0,0,NA,0,0
"Rule_B_200km","Rule_B",200,1,0.517241379310345,0.00175150519978106,0.454271284271284,0.0612547892720306,0.104446233344863
"Rule_B_200km","Rule_B",200,2,4,0.028968253968254,0.724137931034483,0.157407407407407,0.213924436525775
"Rule_B_200km","Rule_B",200,3,6,0.0599206349206349,0.480576441102757,0.229166666666667,0.612722542890641
"Rule_B_200km","Rule_B",200,4,1,0,0.408455988455988,0.118981481481481,0.130115463104859
"Rule_B_200km","Rule_B",200,NA,0,0,NA,0,0
"Rule_B_250km","Rule_B",250,1,0.862068965517241,0,0.505397525127665,0.11845466155811,0.115582275776355
"Rule_B_250km","Rule_B",250,2,9.5,0.0678571428571429,0.868421052631579,0.298611111111111,0.469157596450012
"Rule_B_250km","Rule_B",250,3,7,0.0527777777777778,0.630268199233716,0.280092592592593,0.643609878699447
"Rule_B_250km","Rule_B",250,4,1.33333333333333,0,0.459389213775179,0.172839506172839,0.166693123520876
"Rule_B_250km","Rule_B",250,NA,0,0,NA,0,3.98837059614286e-19
