"Network","Nodes","Edges","Components","Isolates","Largest_Component_Size","Connected_All_Sites","Rule_set","Distance_km","Allowed_connections"
"Rule_A_100km",35,5,30,27,4,FALSE,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Rule_A_150km",35,10,25,22,8,FALSE,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Rule_A_200km",35,16,20,18,13,FALSE,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Rule_A_250km",35,26,14,12,14,FALSE,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Rule_A_300km",35,40,7,6,29,FALSE,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Rule_A_350km",35,48,5,4,31,FALSE,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Rule_A_400km",35,55,5,4,31,FALSE,"Rule_A",400,"4-3, 3-2, 3-1, 2-1"
"Rule_A_450km",35,67,4,3,32,FALSE,"Rule_A",450,"4-3, 3-2, 3-1, 2-1"
"Rule_A_500km",35,76,2,1,34,FALSE,"Rule_A",500,"4-3, 3-2, 3-1, 2-1"
"Rule_A_550km",35,86,1,0,35,TRUE,"Rule_A",550,"4-3, 3-2, 3-1, 2-1"
"Rule_A_600km",35,90,1,0,35,TRUE,"Rule_A",600,"4-3, 3-2, 3-1, 2-1"
"Rule_A_650km",35,102,1,0,35,TRUE,"Rule_A",650,"4-3, 3-2, 3-1, 2-1"
"Rule_B_100km",35,5,30,27,4,FALSE,"Rule_B",100,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_150km",35,11,24,21,8,FALSE,"Rule_B",150,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_200km",35,18,18,16,14,FALSE,"Rule_B",200,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_250km",35,29,12,10,15,FALSE,"Rule_B",250,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_300km",35,43,5,4,31,FALSE,"Rule_B",300,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_350km",35,53,3,2,33,FALSE,"Rule_B",350,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_400km",35,61,3,2,33,FALSE,"Rule_B",400,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_450km",35,73,3,2,33,FALSE,"Rule_B",450,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_500km",35,82,2,1,34,FALSE,"Rule_B",500,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_550km",35,92,1,0,35,TRUE,"Rule_B",550,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_600km",35,97,1,0,35,TRUE,"Rule_B",600,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_650km",35,110,1,0,35,TRUE,"Rule_B",650,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_C_100km",35,2,33,31,2,FALSE,"Rule_C",100,"4-3, 3-2, 2-1"
"Rule_C_150km",35,5,30,26,3,FALSE,"Rule_C",150,"4-3, 3-2, 2-1"
"Rule_C_200km",35,8,27,24,5,FALSE,"Rule_C",200,"4-3, 3-2, 2-1"
"Rule_C_250km",35,17,18,16,10,FALSE,"Rule_C",250,"4-3, 3-2, 2-1"
"Rule_C_300km",35,25,11,9,14,FALSE,"Rule_C",300,"4-3, 3-2, 2-1"
"Rule_C_350km",35,28,10,8,15,FALSE,"Rule_C",350,"4-3, 3-2, 2-1"
"Rule_C_400km",35,34,8,7,28,FALSE,"Rule_C",400,"4-3, 3-2, 2-1"
"Rule_C_450km",35,44,4,3,32,FALSE,"Rule_C",450,"4-3, 3-2, 2-1"
"Rule_C_500km",35,51,2,1,34,FALSE,"Rule_C",500,"4-3, 3-2, 2-1"
"Rule_C_550km",35,60,1,0,35,TRUE,"Rule_C",550,"4-3, 3-2, 2-1"
"Rule_C_600km",35,64,1,0,35,TRUE,"Rule_C",600,"4-3, 3-2, 2-1"
"Rule_C_650km",35,76,1,0,35,TRUE,"Rule_C",650,"4-3, 3-2, 2-1"
