"","Masseria Montevergine - Torre de Rubeis","Torre Sabea","Terragne","Sant'Anna di Oria","Le Macchie (Ripagnola Polignano a mare)","Spila Nakovana","Lokvica","Balsignano I","Balsignano II","Trasanello I","Trasanello II","Pulo di Molfetta Fondo Azzolini","Trasano","Susac Poje","Favella","Piana di Curinga","Scamuso I","Grotta San Michele Arcangelo I","Grotta San Michele Arcangelo II","Palata 1","Danilo-Bitinj","Pokrovnik","Umbro Bova Marina","Grotta Scaloria","Masseria Santa Tecchia","Masseria Candelaro II","Masseria Candelaro III","Krivače","Coppa Nevigata","Ex Palestra GIL","Durdeva greda","Barice Smilcic","Ripatetta","Masseria Acquasalsa","Rocchicella-Paliké","Marcianese","Villa Badessa (Cepegatti)","Colle Cera","Grotta dei Piccioni","Kargadur","Catignano","Rio Tana","Colle Santo Stefano","Grotta Sant'Angelo I","Grotta Sant'Angelo II","Villaggio Ortucchio","Portonovo","Grotta Continenza","Maddalena di Muccia","Piani di Calisti","Grotta dei Cocci","La Marmotta","La Lucciola","Fornace Cappuccini","Pienza","Savignano sul Panaro","Le Secche","Fiorano Modenese","Casa Querciolaia","Cala Giovanna","La Scola","Strette","Abri Albertini","Renaghju","Basi I","Su Carroppu","Rio Saboccu","Sa Punta","Arene Candide II","Arene Candide I","Grotta Pollera","Grande Rivoire","Pont de Roque-Haute","Peiro Signado","La Farigoule 2"
"Masseria Montevergine - Torre de Rubeis",1,0.951704327946511,0.927804850086728,-31.7681901518483,0.739589325212002,0.77797534730827,0.951704327946511,0.40827851498252,0.66096153967897,0.928301566420651,0.573286412861368,0.952697760614357,0.903905372226945,0.963405708709441,0.893694140465784,-2.87775285693865,0.811784475125274,0.884445851858311,-1.13917566885773,0.963405708709441,-0.436505316073981,0.723545840152514,-13.7673449484766,0.730176391588705,1,0.488365960003163,0.515399433164914,0.987801902903147,0.963405708709441,0.928301566420651,0.963405708709441,0.939506230849658,0.976100522140217,0.940996379851427,0.845895184746218,0.89121055879617,0.964399141377287,-0.774092033118321,0.952697760614357,0.362564277793236,-17.7144721707937,0.5785304812833,-15.6763762559138,0.77797534730827,0.963405708709441,0.963405708709441,1,0.841921454074835,0.904402088560868,0.97659723847414,0.987801902903147,-26.7379783892946,0.766770682879263,-3.20884695723605,0.987801902903147,0.939506230849658,-1.99499727169863,1,0.727360738600992,-3.30635713198796,-3.61041743909092,-1.66779210001342,0.963405708709441,-6.0797749840751,0.294440711745938,-0.887601368402477,-14.4925030939238,-24.2681362652478,0.796606080024884,0.22430781306896,0.951207611612588,0.963405708709441,0.960271713407474,0.793287897910328,0.726048963618891
"Torre Sabea",0.951704327946511,1,0.9029119395591,-31.7198944797948,0.787884997265491,0.729679675254782,0.926811417418883,0.456574187036008,0.636068629151342,0.97659723847414,0.621582084914856,0.952201044280434,0.952201044280434,0.915110036655953,0.868801229938155,-2.82945718488516,0.786891564597645,0.859552941330683,-1.09087999680424,0.915110036655953,-0.388209644020492,0.771841512206003,-13.7190492764231,0.778472063642193,0.951704327946511,0.536661632056652,0.563695105218402,0.939506230849658,0.915110036655953,0.903408655893023,0.915110036655953,0.91461332032203,0.975603805806294,0.940499663517504,0.82100227421859,0.939506230849658,0.939506230849658,-0.725796361064833,0.927804850086728,0.410859949846725,-17.6661764987402,0.626826153336789,-15.6280805838603,0.778472063642193,0.915110036655953,0.915110036655953,0.951704327946511,0.890217126128324,0.952697760614357,0.951704327946511,0.963902425043364,-26.6896827172411,0.766273966545341,-3.16055128518256,0.963902425043364,0.91461332032203,-1.94670159964515,0.951704327946511,0.775656410654481,-3.25806145993447,-3.56212176703743,-1.66828881634735,0.915110036655953,-6.03147931202161,0.318340189605721,-0.839305696348988,-14.4442074218703,-24.2198405931943,0.844901752078372,0.272603485122449,0.976100522140217,0.915110036655953,0.935378802879845,0.817187375770111,0.701156053091262
"Terragne",0.927804850086728,0.9029119395591,1,-31.7935797787099,0.714199698350451,0.75457258578241,0.976100522140217,0.382888888120968,0.68436430120483,0.9029119395591,0.547896785999816,0.927308133752806,0.878515745365394,0.964399141377287,0.917096901991644,-2.9031424838002,0.835187236651134,0.907848613384171,-1.16456529571928,0.964399141377287,-0.461894942935532,0.698156213290963,-13.7927345753381,0.704786764727153,0.927804850086728,0.462976333141612,0.490009806303362,0.940002947183581,0.964399141377287,0.976100522140217,0.964399141377287,0.98829861923707,0.927308133752806,0.915606752989875,0.91809033465949,0.865820931934618,0.963405708709441,-0.799481659979873,0.951704327946511,0.337174650931684,-17.7398617976553,0.553140854421749,-15.7017658827754,0.705780197394999,0.964399141377287,0.964399141377287,0.927804850086728,0.793129065687424,0.879012461699317,0.951207611612588,0.915606752989875,-26.7633680161562,0.741381056017712,-3.2342365840976,0.915606752989875,0.98829861923707,-2.02038689856019,0.927804850086728,0.701971111739441,-3.33174675884951,-3.63580706595247,-1.69318172687497,0.964399141377287,-6.10516461093665,0.269051084884386,-0.912990995264028,-14.5178927207854,-24.2935258921094,0.771216453163332,0.198918186207409,0.879012461699317,0.964399141377287,0.911479325020062,0.767898271048777,0.750445157812597
"Sant'Anna di Oria",-31.7681901518483,-31.7198944797948,-31.7935797787099,1,-31.5077794770603,-31.594957887544,-31.793083062376,-31.1764686668309,-31.4779440799147,-31.696491718269,-31.3414765647097,-31.7208879124627,-31.6720955240753,-31.8047844431389,-31.7106766807015,-27.8904372949097,-31.628767015361,-31.7014283920941,-29.6290144829906,-31.8047844431389,-30.3316848357744,-31.4917359920009,-27.0485849868638,-31.498366543437,-31.7681901518483,-31.2565561118515,-31.2835895850133,-31.7803882489452,-31.8047844431389,-31.7696803008501,-31.8047844431389,-31.8052811594728,-31.7442906739886,-31.7091865316998,-31.7116701133694,-31.6594007106445,-31.7569854874193,-29.99409811873,-31.7452841066564,-31.1307544296416,-32.0494527583907,-31.3467206331316,-25.509082965052,-31.5461654991566,-31.8047844431389,-31.8047844431389,-31.7681901518483,-31.6101116059232,-31.6725922404092,-31.7447873903225,-31.7559920547515,-41.5034205244418,-31.5349608347276,-27.5593431946123,-31.7559920547515,-31.8052811594728,-28.7731928801497,-31.7681901518483,-31.4955508904493,-27.4618330198604,-27.1577727127574,-29.1003980518349,-31.8047844431389,-33.0432010325053,-31.0626308635943,-29.8805887834459,-35.7522422084283,-32.4929368570677,-31.5647962318732,-30.9924979649173,-31.7193977634609,-31.8047844431389,-31.7284618652558,-31.5614780497587,-31.5674276980483
"Le Macchie (Ripagnola Polignano a mare)",0.739589325212002,0.787884997265491,0.714199698350451,-31.5077794770603,1,0.517564672520273,0.714696414684374,0.668689189770517,0.634578480149573,0.811287758791351,0.833697087649365,0.786891564597645,0.835683952985057,0.702995033921444,0.797102796358807,-2.61734218215065,0.879012461699317,0.694243461647894,-0.878764994069733,0.702995033921444,-0.176094641285983,0.679720615104331,-13.5069342736886,0.61415601662725,0.739589325212002,0.748776634791161,0.729004584901191,0.727391228115149,0.702995033921444,0.738099176210234,0.702995033921444,0.702498317587521,0.763488803071785,0.798592945360575,0.796109363690961,0.823982572222127,0.750793989641009,-0.513681358330324,0.762495370403939,0.435752860374353,-17.4540614960057,0.721927348441998,-15.4159655811258,0.566357060907684,0.702995033921444,0.702995033921444,0.739589325212002,0.751290705974932,0.835187236651134,0.762992086737862,0.751787422308855,-26.4775677145066,0.577561725336691,-2.94843628244805,0.751787422308855,0.702498317587521,-1.73458659691064,0.739589325212002,0.75374379813039,-3.04594645719996,-3.35000676430293,-1.52936239619395,0.702995033921444,-5.81936430928711,0.153030709922932,-0.627190693614479,-14.2320924191358,-24.0077255904598,0.869794662606001,0.344301918701798,0.788381713599414,0.702995033921444,0.723263800145336,0.722086180664903,0.489041050356753
"Spila Nakovana",0.77797534730827,0.729679675254782,0.75457258578241,-31.594957887544,0.517564672520273,1,0.778472063642193,0.581510779286837,0.8829861923707,0.706276913728922,0.351261760169638,0.730673107922628,0.681880719535216,0.790173444405123,0.720461876161466,-2.70452059263433,0.638552210820956,0.711213587553993,-0.965943404553412,0.790173444405123,-0.263273051769663,0.501521187460785,-13.5941126841723,0.903408655893023,0.77797534730827,0.266341307311434,0.293374780473184,0.790173444405123,0.790173444405123,0.755069302116333,0.790173444405123,0.76627396654534,0.754075869448488,0.718971727159697,0.6726629204419,0.66918590610444,0.766770682879263,-0.600859768814004,0.755069302116333,0.535796542097554,-17.5412399064894,0.356505828591571,-15.5031439916095,0.951207611612588,0.790173444405123,0.790173444405123,0.77797534730827,0.619896801383106,0.682377435869139,0.75457258578241,0.765777250211418,-26.5647461249903,0.940002947183581,-3.03561469293173,0.765777250211418,0.76627396654534,-1.82176500739432,0.77797534730827,0.505336085909263,-3.13312486768364,-3.4371851747866,-1.4945598357091,0.790173444405123,-6.30179963676683,0.467672976050256,-0.714369104098159,-14.3192708296195,-24.0949040009435,0.574581427333154,0.397540077373278,0.729182958920859,0.790173444405123,0.738247060715744,0.571263245218599,0.948073616310621
"Lokvica",0.951704327946511,0.926811417418883,0.976100522140217,-31.793083062376,0.714696414684374,0.778472063642193,1,0.383385604454891,0.684861017538753,0.903408655893023,0.548393502333739,0.927804850086728,0.879012461699317,0.98829861923707,0.917593618325567,-2.90264576746628,0.835683952985057,0.908345329718094,-1.16406857938536,0.98829861923707,-0.461398226601609,0.698652929624885,-13.7922378590042,0.705283481061076,0.951704327946511,0.463473049475534,0.490506522637285,0.963902425043364,0.98829861923707,0.97659723847414,0.98829861923707,0.987801902903147,0.951207611612588,0.916103469323798,0.894190856799707,0.866317648268541,0.963902425043364,-0.79898494364595,0.952201044280434,0.337671367265607,-17.7393650813214,0.553637570755672,-15.7012691664414,0.729679675254782,0.98829861923707,0.98829861923707,0.951704327946511,0.817028543547207,0.87950917803324,0.951704327946511,0.939506230849658,-26.7628712998223,0.741877772351635,-3.23373986776368,0.939506230849658,0.987801902903147,-2.01989018222626,0.951704327946511,0.702467828073364,-3.33125004251559,-3.63531034961855,-1.69268501054105,0.98829861923707,-6.10466789460273,0.269547801218309,-0.912494278930105,-14.5173960044515,-24.2930291757755,0.771713169497255,0.199414902541332,0.9029119395591,0.98829861923707,0.935378802879845,0.7683949873827,0.77434463567238
"Balsignano I",0.40827851498252,0.456574187036008,0.382888888120968,-31.1764686668309,0.668689189770517,0.581510779286837,0.383385604454891,1,0.698524586916138,0.479976948561868,0.647770009914272,0.455580754368163,0.504373142755574,0.371684223691961,0.465791986129324,-2.28603137192117,0.547701651469834,0.362932651418411,-0.54745418384025,0.371684223691961,0.1552161689435,0.348409804874849,-13.1756234634591,0.678102123393815,0.40827851498252,0.661427766498736,0.641655716608767,0.396080417885667,0.371684223691961,0.406788365980751,0.371684223691961,0.371187507358038,0.432177992842303,0.467282135131093,0.464798553461478,0.51706795618635,0.419483179411527,-0.182370548100841,0.431184560174457,0.597283743915741,-17.1227506857762,0.634578480149573,-15.0846547708963,0.630303167674249,0.371684223691961,0.371684223691961,0.40827851498252,0.566357060907684,0.503876426421651,0.43168127650838,0.420476612079372,-26.1462569042771,0.641507832103256,-2.61712547221857,0.420476612079372,0.371187507358038,-1.40327578668115,0.40827851498252,0.568810153063142,-2.71463564697048,-3.01869595407344,-1.44201352790153,0.371684223691961,-5.88331041605367,0.216976816689497,-0.295879883384996,-13.9007816089063,-23.6764147802304,0.611672434957636,0.65220996740542,0.457070903369931,0.371684223691961,0.391952989915853,0.39077537043542,0.552987157123318
"Balsignano II",0.66096153967897,0.636068629151342,0.68436430120483,-31.4779440799147,0.634578480149573,0.8829861923707,0.684861017538753,0.698524586916138,1,0.659471390677202,0.468275567798938,0.683867584870907,0.635075196483496,0.673159636775823,0.767267399213186,-2.58750678500503,0.755566018450256,0.664408064502273,-0.848929596924112,0.673159636775823,-0.146259244140363,0.454715664409065,-13.477098876543,0.833200371315442,0.66096153967897,0.383355114940734,0.410388588102485,0.673159636775823,0.673159636775823,0.708263779064613,0.673159636775823,0.6726629204419,0.660464823345047,0.695568965633838,0.76627396654534,0.59897762152686,0.696562398301683,-0.483845961184703,0.708263779064613,0.606004826675134,-17.4242260988601,0.473519636220871,-15.3861301839802,0.834193803983288,0.673159636775823,0.673159636775823,0.66096153967897,0.526285755279666,0.658974674343279,0.68436430120483,0.648763442582117,-26.447732317361,0.869794662606001,-2.91860088530243,0.648763442582117,0.6726629204419,-1.70475119976502,0.66096153967897,0.528738847435123,-3.01611106005434,-3.3201713671573,-1.3775460280798,0.673159636775823,-6.18478582913753,0.420867452998536,-0.597355296468859,-14.2022570219902,-23.9778901933142,0.644789711910734,0.514553885002579,0.612169151291559,0.673159636775823,0.644636014612304,0.594666006744459,0.85446257020718
"Trasanello I",0.928301566420651,0.97659723847414,0.9029119395591,-31.696491718269,0.811287758791351,0.706276913728922,0.903408655893023,0.479976948561868,0.659471390677202,1,0.644984846440716,0.975603805806294,0.975603805806294,0.891707275130093,0.892203991464015,-2.8060544233593,0.810294326123505,0.882955702856543,-1.06747723527838,0.891707275130093,-0.364806882494632,0.795244273731863,-13.6956465148972,0.778472063642193,0.928301566420651,0.560064393582512,0.587097866744263,0.916103469323798,0.891707275130093,0.926811417418883,0.891707275130093,0.89121055879617,0.952201044280434,0.963902425043364,0.84440503574445,0.939506230849658,0.939506230849658,-0.702393599538973,0.951207611612588,0.434262711372585,-17.6427737372144,0.650228914862649,-15.6046778223345,0.755069302116333,0.891707275130093,0.891707275130093,0.928301566420651,0.866814364602464,0.976100522140217,0.951704327946511,0.940499663517504,-26.6662799557153,0.766273966545341,-3.1371485236567,0.940499663517504,0.89121055879617,-1.92329883811929,0.928301566420651,0.799059172180341,-3.23465869840861,-3.53871900551157,-1.64488605482149,0.891707275130093,-6.00807655049575,0.341742951131581,-0.815902934823128,-14.4208046603445,-24.1964378316685,0.868304513604233,0.296006246648309,0.952697760614357,0.891707275130093,0.911976041353985,0.840590137295971,0.677753291565402
