"sites","PCoA1","PCoA2","Rank","Production_score"
"Masseria Montevergine - Torre de Rubeis",-3.07150715644824,-0.442866788941831,"1",0.102380342974149
"Torre Sabea",-2.99969715505957,-0.432431295832671,"1",0.195694525824595
"Terragne",-3.11097809791806,-0.446014169505039,"1",0.0330578512396694
"Sant'Anna di Oria",22.995074380443,-28.8072566708797,"3",62.1461521095554
"Le Macchie (Ripagnola Polignano a mare)",-2.70878068945354,-0.384736387752114,"1",0.520413667352728
"Spila Nakovana",-2.74804929848794,-0.407486408105372,"1",0.443347034232173
"Lokvica",-2.34279047087224,-0.352986196500452,"1",0.877627908340643
"Balsignano",-2.20292252133133,-0.319038880219628,"1",1.07520720468275
"Trasanello I",-2.98190892392863,-0.430381966629043,"1",0.219686216940562
"Trasanello II",-2.44304196101427,-0.337944066968139,"1",0.797149426648926
"Pulo di Molfetta Fondo Azzolini",-3.01665185338649,-0.435823309621988,"1",0.17756220557719
"Trasano",-2.93050008148652,-0.421623296827843,"1",0.279942548551339
"Susac Poje",-3.12078176543626,-0.448022654135934,"1",0.0255950857435372
"Favella",-3.01128031888789,-0.432815266212147,"1",0.166892650825917
"Piana di Curinga",3.254216833386,-0.106623446247733,"2",6.91061136454116
"Scamuso I",-2.90247042724732,-0.414543911604224,"1",0.28259513016476
"Grotta San Michele Arcangelo I",-2.9804059055662,-0.437551323108255,"1",0.206709151736409
"Grotta San Michele Arcangelo II",0.730875574155185,-0.649865465893486,"1",4.21329187100129
"Palata 1",-3.12078176543626,-0.448022654135934,"1",0.0255950857435372
"Danilo-Bitinj",-0.46676810566562,-0.224480390816392,"1",2.88704875591039
"Pokrovnik",-2.63094671914308,-0.399682404741275,"1",0.623334244464368
"Umbro Bova Marina",15.4772674994254,3.44772350974173,"3",26.6797612606952
"Grotta Scaloria",-2.60947054265953,-0.388322771758994,"1",0.629975399933065
"Masseria Santa Tecchia",-3.07150715644824,-0.442866788941828,"1",0.102380342974149
"Masseria Candelaro II",-2.22984881103077,-0.309628495195839,"1",1.03586724263915
"Masseria Candelaro III",-2.25667396090605,-0.308315312591994,"1",1.00103346119164
"Krivače",-3.08896114637092,-0.444896307521898,"1",0.0767852572306117
"Coppa Nevigata",-3.12078176543626,-0.448022654135934,"1",0.0255950857435372
"Ex Palestra GIL",-3.0849503147632,-0.443479683725232,"1",0.0751818626030414
"Durdeva greda",-3.12078176543626,-0.448022654135934,"1",0.0255950857435372
"Barice Smilcic",-3.12292814938495,-0.447529866782201,"1",0.0165289256198347
"Ripatetta",-3.04167909291438,-0.439194706022822,"1",0.144504354337521
"Masseria Acquasalsa",-3.00242798839019,-0.433613021436058,"1",0.194091131197025
"Rocchicella-Paliké",-3.0090744533858,-0.429843107470366,"1",0.148760330578512
"Marcianese",-2.89764591418984,-0.415508699276747,"1",0.314603794418579
"Villa Badessa (Cepegatti)",-3.06625953750098,-0.442224843331984,"1",0.109843108470281
"Colle Cera",0.0545648969367008,-0.483732898322664,"1",3.4624447631819
"Grotta dei Piccioni",-3.05315384468447,-0.440360590809524,"1",0.126372034090116
"Kargadur",-2.01291908962041,-0.32441715197597,"1",1.30644828167262
"Catignano",11.1871793489478,6.9090061823938,"3",26.4877197300368
"Rio Tana",-2.34775497516184,-0.318421413008561,"1",0.898480582637225
"Colle Santo Stefano",17.956110822651,-3.00583286509814,"3",32.5832081828692
"Grotta Sant'Angelo I",-2.67500489288242,-0.398066757449834,"1",0.545727377206321
"Grotta Sant'Angelo II",-3.12078176543626,-0.448022654135934,"1",0.0255950857435372
"Villaggio Ortucchio",-3.12078176543626,-0.448022654135934,"1",0.0255950857435372
"Portonovo",-3.07150715644824,-0.442866788941828,"1",0.102380342974149
"Grotta Continenza",-2.79089326026428,-0.395925937943346,"1",0.426050297516431
"Maddalena di Muccia",-2.96605934872276,-0.427317046503074,"1",0.237818537187967
"Pian di Calisti",-3.04881360584478,-0.440197740787462,"1",0.135438194213818
"Grotta dei Cocci",-3.05243618781914,-0.44035213459354,"1",0.127975428717686
"La Marmotta",26.4301775407679,3.84366224324029,"3",52.8379143005339
"La Lucciola",-2.67294246231958,-0.398654674066945,"1",0.553190142702454
"Fornace Cappuccini",5.47268220273878,-1.23356296484505,"2",9.55707977153264
"Pienza",-3.05243618781914,-0.440352134593539,"1",0.127975428717686
"Savignano sul Panaro",-3.12292814938495,-0.447529866782201,"1",0.0165289256198347
"Le Secche",2.09899408884357,-0.398885537251204,"2",5.65649827053997
"Fiorano Modenese",-3.07150715644824,-0.442866788941828,"1",0.102380342974149
"Casa Querciolaia",-2.63367529688943,-0.381239377399038,"1",0.614627129005435
"Cala Giovanna",4.41067347289372,-0.402554571215331,"2",8.16032485612261
"La Scola",4.64996394857957,-0.360807857971677,"2",8.38889926824054
"Strette",1.07530478059632,-1.09471859894243,"2",4.94188253659516
"Abri Albertini",-3.12078176543625,-0.448022654135933,"1",0.0255950857435372
"Renaghju",3.73793245468436,4.68410034341193,"2",12.9409388556383
"Basi I",-1.8825776262876,-0.335290538403266,"1",1.44277178118447
"Su Carroppu",0.300640166981882,-0.0603573264708511,"1",3.70174512363015
"Rio Saboccu",12.3758677607063,12.1808487168674,"3",26.7470150215172
"Sa Punta",22.4098952812866,10.0571694849385,"3",43.5855495399968
"Cuccuru is Arrius",2.09040158272376,18.3414769663379,"3",38.3925895482288
"Arene Candide II",-2.76443741668989,-0.393712067458955,"1",0.464967519624662
"Arene Candide I",-1.71662707286695,-0.257949641333802,"1",1.59303198569266
"Grotta Pollera",-2.98872376513852,-0.429976234298819,"1",0.204760685948298
"Grande Rivoire",-3.12078176543625,-0.44802265413593,"1",0.0255950857435372
"Pont de Roque-Haute",-3.01667321725548,-0.439593903952919,"1",0.171875370288899
"Peiro Signado",-2.77037104686803,-0.414687554019318,"1",0.464608474959893
