"","blade.PN","flake.PN","core.PN","by.products.waste.PN"
"Masseria Montevergine - Torre de Rubeis",0.0975847767748231,0,0,0
"Torre Sabea",0.17077335935594,0.0234027615258601,0,0
"Terragne",0,0.0468055230517201,0,0
"Sant'Anna di Oria",10.7587216394242,4.63374678212029,2.37154150197628,47.8699551569507
"Le Macchie (Ripagnola Polignano a mare)",0.243961941937058,0.374444184413761,0,0
"Spila Nakovana",0.0487923883874116,0,0.395256916996047,0
"Lokvica",0.0243961941937058,0.0234027615258601,0,0
"Balsignano I",0.487923883874116,0.397846945939621,0.395256916996047,0
"Balsignano II",0.0487923883874116,0.2340276152586,0.395256916996047,0
"Trasanello I",0.17077335935594,0.0702082845775802,0,0
"Trasanello II",0.365942912905587,0.585069038146501,0,0
"Pulo di Molfetta Fondo Azzolini",0.121980970968529,0.0702082845775802,0,0
"Trasano",0.219565747743352,0.0702082845775802,0,0
"Susac Poje",0.0243961941937058,0,0,0
"Favella",0.0487923883874116,0.16381933068102,0,0
"Piana di Curinga",1.00024396194194,2.80833138310321,1.18577075098814,2.85874439461883
"Scamuso I",0.0487923883874116,0.327638661362041,0,0
"Grotta San Michele Arcangelo I",0.0487923883874116,0.0702082845775802,0,0.112107623318386
"Grotta San Michele Arcangelo II",2.5372041961454,0.936110461034402,0.790513833992095,0.112107623318386
"Palata 1",0.0243961941937058,0,0,0
"Danilo-Bitinj",1.19541351549158,0.421249707465481,1.18577075098814,0.168161434977578
"Pokrovnik",0.243961941937058,0.0702082845775802,0,0.336322869955157
"Umbro Bova Marina",3.61063674066846,8.75263281067166,8.300395256917,8.96860986547085
"Grotta Scaloria",0.195169553549646,0.0468055230517201,0.395256916996047,0
"Masseria Santa Tecchia",0.0975847767748231,0,0,0
"Masseria Candelaro II",0.63430104903635,0.374444184413761,0,0.112107623318386
"Masseria Candelaro III",0.683093437423762,0.327638661362041,0,0.0560538116591928
"Krivače",0.0731885825811174,0,0,0
"Coppa Nevigata",0.0243961941937058,0,0,0
"Ex Palestra GIL",0.0243961941937058,0.0702082845775802,0,0
"Durdeva greda",0.0243961941937058,0,0,0
"Barice Smilcic",0,0.0234027615258601,0,0
"Ripatetta",0.121980970968529,0.0234027615258601,0,0
"Masseria Acquasalsa",0.121980970968529,0.0936110461034402,0,0
"Rocchicella-Paliké",0,0.21062485373274,0,0
"Marcianese",0.268358136130764,0.0468055230517201,0,0
"Villa Badessa (Cepegatti)",0.0731885825811174,0.0468055230517201,0,0
"Colle Cera",2.02488411807758,0.889304937982682,0.395256916996047,0.336322869955157
"Grotta dei Piccioni",0.0731885825811174,0.0702082845775802,0,0
"Kargadur",0.341546718711881,0.18722209220688,0.395256916996047,0.448430493273543
"Catignano",7.48963161746768,4.65714954364615,21.3438735177866,4.03587443946188
"Rio Tana",0.683093437423762,0.257430376784461,0,0
"Colle Santo Stefano",18.1751646743108,4.86777439737889,5.13833992094862,5.26905829596413
"Grotta Sant'Angelo I",0.146377165162235,0,0.395256916996047,0
"Grotta Sant'Angelo II",0.0243961941937058,0,0,0
"Villaggio Ortucchio",0.0243961941937058,0,0,0
"Portonovo",0.0975847767748231,0,0,0
"Grotta Continenza",0.390339107099292,0.0234027615258601,0,0
"Maddalena di Muccia",0.195169553549646,0.0936110461034402,0,0
"Piani di Calisti",0.0975847767748231,0.0468055230517201,0,0
"Grotta dei Cocci",0.121980970968529,0,0,0
"La Marmotta",23.2007806782142,6.73999531944769,25.296442687747,0.336322869955157
"La Lucciola",0.121980970968529,0.0468055230517201,0.395256916996047,0
"Fornace Cappuccini",4.07416443034887,2.64451205242219,0.395256916996047,1.40134529147982
"Pienza",0.121980970968529,0,0,0
"Savignano sul Panaro",0,0.0234027615258601,0,0
"Le Secche",1.80531837033423,1.19354083781886,0.790513833992095,2.29820627802691
"Fiorano Modenese",0.0975847767748231,0,0,0
"Casa Querciolaia",0.390339107099292,0.14041656915516,0,0.112107623318386
"Cala Giovanna",2.61039277872652,1.82541539901708,1.97628458498024,2.29820627802691
"La Scola",2.48841180775799,3.06576175988767,1.18577075098814,2.57847533632287
"Strette",0.121980970968529,0.936110461034402,0.395256916996047,3.97982062780269
"Abri Albertini",0.0243961941937058,0,0,0
"Renaghju",1.2686020980727,12.9885326468523,0,0
"Basi I",0.146377165162235,0.0702082845775802,0.395256916996047,0.896860986547085
"Su Carroppu",1.17101732129788,0.725485607301662,1.97628458498024,0
"Rio Saboccu",1.85411075872164,14.2288790077229,12.2529644268775,2.74663677130045
"Sa Punta",5.41595511100268,22.3262344956705,10.6719367588933,12.219730941704
"Arene Candide II",0.317150524518175,0.18722209220688,0,0
"Arene Candide I",0.512320078067821,0.2340276152586,0.790513833992095,0.112107623318386
"Grotta Pollera",0.195169553549646,0,0,0
"Grande Rivoire",0.0243961941937058,0,0,0
"Pont de Roque-Haute",0.0975847767748231,0.0234027615258601,0,0.0560538116591928
"Peiro Signado",0.146377165162235,0.14041656915516,0,0.224215246636771
"La Farigoule 2",0.0243961941937058,0.0234027615258601,0.395256916996047,0.0560538116591928
