"sites","Production_score","Rank","Cluster_raw"
"Masseria Montevergine - Torre de Rubeis",0.102380342974149,1,1
"Torre Sabea",0.195694525824595,1,1
"Terragne",0.0330578512396694,1,1
"Sant'Anna di Oria",62.1461521095554,3,3
"Le Macchie (Ripagnola Polignano a mare)",0.520413667352728,1,1
"Spila Nakovana",0.443347034232173,1,1
"Lokvica",0.877627908340643,1,1
"Balsignano",1.07520720468275,1,1
"Trasanello I",0.219686216940562,1,1
"Trasanello II",0.797149426648926,1,1
"Pulo di Molfetta Fondo Azzolini",0.17756220557719,1,1
"Trasano",0.279942548551339,1,1
"Susac Poje",0.0255950857435372,1,1
"Favella",0.166892650825917,1,1
"Piana di Curinga",6.91061136454116,2,2
"Scamuso I",0.28259513016476,1,1
"Grotta San Michele Arcangelo I",0.206709151736409,1,1
"Grotta San Michele Arcangelo II",4.21329187100129,1,1
"Palata 1",0.0255950857435372,1,1
"Danilo-Bitinj",2.88704875591039,1,1
"Pokrovnik",0.623334244464368,1,1
"Umbro Bova Marina",26.6797612606952,3,3
"Grotta Scaloria",0.629975399933065,1,1
"Masseria Santa Tecchia",0.102380342974149,1,1
"Masseria Candelaro II",1.03586724263915,1,1
"Masseria Candelaro III",1.00103346119164,1,1
"Krivače",0.0767852572306117,1,1
"Coppa Nevigata",0.0255950857435372,1,1
"Ex Palestra GIL",0.0751818626030414,1,1
"Durdeva greda",0.0255950857435372,1,1
"Barice Smilcic",0.0165289256198347,1,1
"Ripatetta",0.144504354337521,1,1
"Masseria Acquasalsa",0.194091131197025,1,1
"Rocchicella-Paliké",0.148760330578512,1,1
"Marcianese",0.314603794418579,1,1
"Villa Badessa (Cepegatti)",0.109843108470281,1,1
"Colle Cera",3.4624447631819,1,1
"Grotta dei Piccioni",0.126372034090116,1,1
"Kargadur",1.30644828167262,1,1
"Catignano",26.4877197300368,3,3
"Rio Tana",0.898480582637225,1,1
"Colle Santo Stefano",32.5832081828692,3,3
"Grotta Sant'Angelo I",0.545727377206321,1,1
"Grotta Sant'Angelo II",0.0255950857435372,1,1
"Villaggio Ortucchio",0.0255950857435372,1,1
"Portonovo",0.102380342974149,1,1
"Grotta Continenza",0.426050297516431,1,1
"Maddalena di Muccia",0.237818537187967,1,1
"Pian di Calisti",0.135438194213818,1,1
"Grotta dei Cocci",0.127975428717686,1,1
"La Marmotta",52.8379143005339,3,3
"La Lucciola",0.553190142702454,1,1
"Fornace Cappuccini",9.55707977153264,2,2
"Pienza",0.127975428717686,1,1
"Savignano sul Panaro",0.0165289256198347,1,1
"Le Secche",5.65649827053997,2,2
"Fiorano Modenese",0.102380342974149,1,1
"Casa Querciolaia",0.614627129005435,1,1
"Cala Giovanna",8.16032485612261,2,2
"La Scola",8.38889926824054,2,2
"Strette",4.94188253659516,2,2
"Abri Albertini",0.0255950857435372,1,1
"Renaghju",12.9409388556383,2,2
"Basi I",1.44277178118447,1,1
"Su Carroppu",3.70174512363015,1,1
"Rio Saboccu",26.7470150215172,3,3
"Sa Punta",43.5855495399968,3,3
"Cuccuru is Arrius",38.3925895482288,3,3
"Arene Candide II",0.464967519624662,1,1
"Arene Candide I",1.59303198569266,1,1
"Grotta Pollera",0.204760685948298,1,1
"Grande Rivoire",0.0255950857435372,1,1
"Pont de Roque-Haute",0.171875370288899,1,1
"Peiro Signado",0.464608474959893,1,1
